index,group_id,mean_correct,evaluated_images,mean_error
943,03::004342047064,1.0,9,0.0
948,03::004388817119,1.0,9,0.0
968,03::004524447333,1.0,9,0.0
976,03::004563207390,1.0,9,0.0
983,03::004600607455,1.0,9,0.0
985,03::004661083561,1.0,9,0.0
988,03::365159572803,1.0,9,0.0
991,03::419664686203,1.0,9,0.0
996,03::466243356103,1.0,9,0.0
1003,04::000016909599,1.0,9,0.0
1010,04::003419825275,1.0,9,0.0
1030,04::003696665808,1.0,9,0.0
1035,04::003760035985,1.0,9,0.0
1038,04::003773736016,1.0,9,0.0
1071,04::004204746876,1.0,9,0.0
1086,04::004237176933,1.0,9,0.0
1088,04::004237446932,1.0,9,0.0
1099,04::004283546992,1.0,9,0.0
1128,04::004427387187,1.0,9,0.0
1133,04::004449837202,1.0,9,0.0
1143,04::004525297335,1.0,9,0.0
1150,05::003424575280,1.0,9,0.0
1154,05::003481975355,1.0,9,0.0
1155,05::003503425380,1.0,9,0.0
1156,05::003533665426,1.0,9,0.0
1157,05::003533965426,1.0,9,0.0
1159,05::003571955521,1.0,9,0.0
1160,05::003572035521,1.0,9,0.0
1163,05::003589015576,1.0,9,0.0
1166,05::003631415663,1.0,9,0.0
1181,05::003902996328,1.0,9,0.0
1182,05::003903486328,1.0,9,0.0
1193,05::004209336885,1.0,9,0.0
1197,05::004262586961,1.0,9,0.0
1214,05::004372977108,1.0,9,0.0
1251,07::004270436972,1.0,9,0.0
1257,08::002667000108,1.0,9,0.0
1258,08::003385105218,1.0,9,0.0
1264,09::003527485419,1.0,9,0.0
1266,09::003542955448,1.0,9,0.0
1273,10::003778306032,1.0,9,0.0
1277,10::004402327135,1.0,9,0.0
1279,11::000057549598,1.0,9,0.0
1280,11::003427675288,1.0,9,0.0
15,01::000007230001,1.0,6,0.0
18,01::000007500001,1.0,6,0.0
19,01::000013170001,1.0,6,0.0
28,01::000017440001,1.0,6,0.0
31,01::000021379597,1.0,6,0.0
34,01::000021910001,1.0,6,0.0
68,01::000102409598,1.0,6,0.0
74,01::000126109598,1.0,6,0.0
77,01::000151499598,1.0,6,0.0
79,01::000155699598,1.0,6,0.0
86,01::003379705208,1.0,6,0.0
88,01::003379835208,1.0,6,0.0
91,01::003387725222,1.0,6,0.0
92,01::003387815222,1.0,6,0.0
96,01::003391895225,1.0,6,0.0
105,01::003406265240,1.0,6,0.0
108,01::003419415275,1.0,6,0.0
117,01::003426185286,1.0,6,0.0
120,01::003430115290,1.0,6,0.0
130,01::003433695293,1.0,6,0.0
135,01::003434315293,1.0,6,0.0
139,01::003446295306,1.0,6,0.0
143,01::003447045306,1.0,6,0.0
150,01::003452915308,1.0,6,0.0
166,01::003480465354,1.0,6,0.0
168,01::003489855366,1.0,6,0.0
174,01::003490745366,1.0,6,0.0
180,01::003493925369,1.0,6,0.0
190,01::003497985374,1.0,6,0.0
191,01::003500925378,1.0,6,0.0
208,01::003515565414,1.0,6,0.0
215,01::003517975416,1.0,6,0.0
217,01::003524075417,1.0,6,0.0
223,01::003535355429,1.0,6,0.0
224,01::003535385429,1.0,6,0.0
229,01::003535555429,1.0,6,0.0
233,01::003540515442,1.0,6,0.0
237,01::003549945470,1.0,6,0.0
247,01::003556665482,1.0,6,0.0
250,01::003562905500,1.0,6,0.0
251,01::003568405517,1.0,6,0.0
257,01::003590815585,1.0,6,0.0
263,01::003604335609,1.0,6,0.0
266,01::003607225612,1.0,6,0.0
267,01::003609795618,1.0,6,0.0
272,01::003616175630,1.0,6,0.0
274,01::003620765640,1.0,6,0.0
287,01::003646145716,1.0,6,0.0
289,01::003657775752,1.0,6,0.0
293,01::003658425752,1.0,6,0.0
