group_id,C0,C1,C2,seed,c1_minus_c0,c2_minus_c1
01::003550205470,1.0,1.0,1.0,3407,0.0,0.0
01::003550235470,1.0,1.0,1.0,3407,0.0,0.0
01::003550315470,1.0,1.0,1.0,3407,0.0,0.0
01::003555485481,1.0,1.0,1.0,3407,0.0,0.0
01::003555595481,1.0,1.0,1.0,3407,0.0,0.0
01::003556565482,1.0,1.0,1.0,3407,0.0,0.0
01::003556985482,1.0,1.0,1.0,3407,0.0,0.0
01::003557015482,1.0,1.0,1.0,3407,0.0,0.0
01::003558785487,1.0,1.0,1.0,3407,0.0,0.0
01::003558825487,1.0,1.0,1.0,3407,0.0,0.0
01::003559005487,1.0,1.0,1.0,3407,0.0,0.0
01::003560335495,1.0,1.0,1.0,3407,0.0,0.0
01::003560605495,1.0,1.0,1.0,3407,0.0,0.0
01::003568165517,1.0,1.0,1.0,3407,0.0,0.0
01::003568525517,1.0,1.0,1.0,3407,0.0,0.0
01::003568615517,1.0,1.0,1.0,3407,0.0,0.0
01::003571495521,1.0,1.0,1.0,3407,0.0,0.0
01::003571605521,1.0,1.0,1.0,3407,0.0,0.0
01::003571675521,1.0,1.0,1.0,3407,0.0,0.0
01::003571825521,1.0,1.0,1.0,3407,0.0,0.0
01::003575855532,1.0,1.0,1.0,3407,0.0,0.0
01::003576935534,1.0,1.0,1.0,3407,0.0,0.0
01::003586435569,1.0,1.0,1.0,3407,0.0,0.0
01::003586575569,1.0,1.0,1.0,3407,0.0,0.0
01::003586615569,1.0,1.0,1.0,3407,0.0,0.0
01::003586775569,1.0,1.0,1.0,3407,0.0,0.0
01::003586895569,1.0,1.0,1.0,3407,0.0,0.0
01::003587185569,1.0,1.0,1.0,3407,0.0,0.0
01::003587195569,1.0,1.0,1.0,3407,0.0,0.0
01::003589425583,1.0,1.0,1.0,3407,0.0,0.0
01::003591165585,1.0,1.0,1.0,3407,0.0,0.0
01::003591345585,1.0,1.0,1.0,3407,0.0,0.0
01::003599995598,1.0,1.0,1.0,3407,0.0,0.0
01::003600135598,1.0,1.0,1.0,3407,0.0,0.0
01::003604665610,1.0,1.0,1.0,3407,0.0,0.0
01::003607285612,1.0,1.0,1.0,3407,0.0,0.0
01::003614845628,1.0,1.0,1.0,3407,0.0,0.0
01::003614965628,1.0,1.0,1.0,3407,0.0,0.0
01::003615045628,1.0,1.0,1.0,3407,0.0,0.0
01::003616365630,1.0,1.0,1.0,3407,0.0,0.0
01::003616625630,1.0,1.0,1.0,3407,0.0,0.0
01::003621045640,1.0,1.0,1.0,3407,0.0,0.0
01::003621235640,1.0,1.0,1.0,3407,0.0,0.0
01::003629535658,1.0,1.0,1.0,3407,0.0,0.0
01::003629545658,1.0,1.0,1.0,3407,0.0,0.0
01::003633815671,1.0,1.0,1.0,3407,0.0,0.0
01::003641985707,1.0,1.0,1.0,3407,0.0,0.0
01::003642435707,1.0,1.0,1.0,3407,0.0,0.0
01::003645185716,1.0,1.0,1.0,3407,0.0,0.0
01::003645215716,1.0,1.0,1.0,3407,0.0,0.0
01::003645895716,1.0,1.0,1.0,3407,0.0,0.0
01::003646185716,1.0,1.0,1.0,3407,0.0,0.0
01::003646225716,1.0,1.0,1.0,3407,0.0,0.0
01::003646295718,1.0,1.0,1.0,3407,0.0,0.0
01::003657335751,1.0,1.0,1.0,3407,0.0,0.0
01::003657355751,1.0,1.0,1.0,3407,0.0,0.0
01::003657915752,1.0,1.0,1.0,3407,0.0,0.0
01::003657965752,1.0,1.0,1.0,3407,0.0,0.0
01::003658205752,1.0,1.0,1.0,3407,0.0,0.0
01::003658315752,1.0,1.0,1.0,3407,0.0,0.0
01::003658475752,1.0,1.0,1.0,3407,0.0,0.0
01::003658655752,1.0,1.0,1.0,3407,0.0,0.0
01::003658685754,1.0,1.0,1.0,3407,0.0,0.0
01::003658715752,1.0,1.0,1.0,3407,0.0,0.0
01::003658845754,1.0,1.0,1.0,3407,0.0,0.0
01::003661745760,1.0,1.0,1.0,3407,0.0,0.0
01::003661765760,1.0,1.0,1.0,3407,0.0,0.0
01::003665095766,1.0,1.0,1.0,3407,0.0,0.0
01::003665255765,1.0,1.0,1.0,3407,0.0,0.0
01::003665325765,1.0,1.0,1.0,3407,0.0,0.0
01::003666015765,1.0,1.0,1.0,3407,0.0,0.0
01::003666415765,1.0,1.0,1.0,3407,0.0,0.0
01::003680015782,1.0,1.0,1.0,3407,0.0,0.0
01::003689515794,1.0,1.0,1.0,3407,0.0,0.0
01::003689805794,1.0,1.0,1.0,3407,0.0,0.0
01::003689815794,1.0,1.0,1.0,3407,0.0,0.0
01::003689945794,1.0,1.0,1.0,3407,0.0,0.0
01::003690395794,1.0,1.0,1.0,3407,0.0,0.0
01::003693835805,1.0,1.0,1.0,3407,0.0,0.0
01::003694235805,1.0,1.0,1.0,3407,0.0,0.0
01::003695735806,1.0,1.0,1.0,3407,0.0,0.0
01::003698535825,1.0,1.0,1.0,3407,0.0,0.0
01::003698775825,1.0,1.0,1.0,3407,0.0,0.0
01::003701015833,1.0,1.0,1.0,3407,0.0,0.0
01::003701445833,1.0,1.0,1.0,3407,0.0,0.0
01::003701575834,1.0,1.0,1.0,3407,0.0,0.0
01::003701745833,1.0,1.0,1.0,3407,0.0,0.0
01::003702105833,1.0,1.0,1.0,3407,0.0,0.0
01::003707245844,1.0,1.0,1.0,3407,0.0,0.0
01::003713525850,1.0,1.0,1.0,3407,0.0,0.0
01::003715165857,1.0,1.0,1.0,3407,0.0,0.0
01::003715315857,1.0,1.0,1.0,3407,0.0,0.0
01::003715455857,1.0,1.0,1.0,3407,0.0,0.0
01::003715555857,1.0,1.0,1.0,3407,0.0,0.0
01::003717235859,1.0,1.0,1.0,3407,0.0,0.0
01::003717475859,1.0,1.0,1.0,3407,0.0,0.0
01::003730665880,1.0,1.0,1.0,3407,0.0,0.0
01::003735535894,1.0,1.0,1.0,3407,0.0,0.0
01::003735585894,1.0,1.0,1.0,3407,0.0,0.0
01::003735795894,1.0,1.0,1.0,3407,0.0,0.0
01::003735925894,1.0,1.0,1.0,3407,0.0,0.0
01::003737175897,1.0,1.0,1.0,3407,0.0,0.0
01::003737325897,1.0,1.0,1.0,3407,0.0,0.0
01::003738595907,1.0,1.0,1.0,3407,0.0,0.0
01::003743415926,1.0,1.0,1.0,3407,0.0,0.0
01::003743445926,0.5,1.0,1.0,3407,0.5,0.0
01::003744905931,1.0,1.0,1.0,3407,0.0,0.0
01::003747535940,1.0,1.0,1.0,3407,0.0,0.0
01::003751665959,1.0,1.0,1.0,3407,0.0,0.0
01::003751725959,1.0,1.0,1.0,3407,0.0,0.0
01::003756185976,1.0,1.0,1.0,3407,0.0,0.0
01::003756235977,1.0,1.0,1.0,3407,0.0,0.0
01::003762595989,1.0,1.0,1.0,3407,0.0,0.0
01::003770846009,1.0,1.0,1.0,3407,0.0,0.0
01::003772096012,0.0,0.0,0.0,3407,0.0,0.0
01::003776146025,1.0,1.0,1.0,3407,0.0,0.0
01::003776196026,1.0,1.0,1.0,3407,0.0,0.0
01::003779026033,1.0,1.0,1.0,3407,0.0,0.0
01::003780506038,1.0,1.0,1.0,3407,0.0,0.0
01::003780566038,1.0,1.0,1.0,3407,0.0,0.0
01::003780946038,1.0,1.0,1.0,3407,0.0,0.0
01::003782176043,1.0,1.0,1.0,3407,0.0,0.0
01::003782186043,1.0,1.0,1.0,3407,0.0,0.0
01::003788896066,1.0,1.0,1.0,3407,0.0,0.0
01::003789096066,1.0,1.0,1.0,3407,0.0,0.0
01::003789576070,1.0,1.0,1.0,3407,0.0,0.0
01::003789746070,1.0,1.0,1.0,3407,0.0,0.0
01::003791346075,1.0,1.0,1.0,3407,0.0,0.0
01::003791596076,1.0,1.0,1.0,3407,0.0,0.0
01::003791866075,1.0,1.0,1.0,3407,0.0,0.0
01::003796626085,1.0,1.0,1.0,3407,0.0,0.0
01::003796776085,1.0,1.0,1.0,3407,0.0,0.0
01::003798166092,1.0,0.0,0.0,3407,-1.0,0.0
01::003801126102,1.0,1.0,1.0,3407,0.0,0.0
01::003801156101,1.0,1.0,1.0,3407,0.0,0.0
01::003802526103,1.0,1.0,1.0,3407,0.0,0.0
01::003804846105,1.0,1.0,1.0,3407,0.0,0.0
01::003804876105,1.0,1.0,1.0,3407,0.0,0.0
01::003805686105,1.0,1.0,1.0,3407,0.0,0.0
01::003807056110,1.0,1.0,1.0,3407,0.0,0.0
01::003813316120,1.0,1.0,1.0,3407,0.0,0.0
01::003813616123,1.0,1.0,1.0,3407,0.0,0.0
01::003814196124,1.0,1.0,1.0,3407,0.0,0.0
01::003814436124,1.0,1.0,1.0,3407,0.0,0.0
01::003814446124,1.0,1.0,1.0,3407,0.0,0.0
01::003814766124,1.0,1.0,1.0,3407,0.0,0.0
01::003814796124,1.0,1.0,1.0,3407,0.0,0.0
01::003815136124,1.0,1.0,1.0,3407,0.0,0.0
01::003815256124,1.0,1.0,1.0,3407,0.0,0.0
01::003816976126,1.0,1.0,1.0,3407,0.0,0.0
01::003817046126,1.0,1.0,1.0,3407,0.0,0.0
01::003817406126,1.0,1.0,1.0,3407,0.0,0.0
01::003817416126,1.0,1.0,1.0,3407,0.0,0.0
