seed,fold,method,view,species_id,f1,tier
3407,2,F0,same_swap,15,0.6666666666666666,tail
3407,2,F0,same_swap,16,0.9915966386554622,mid
3407,2,F0,same_swap,2,0.9796149490373726,head
3407,2,F0,same_swap,3,0.9628732849071832,head
3407,2,F0,same_swap,4,0.9932019034670292,head
3407,2,F0,same_swap,5,1.0,head
3407,2,F0,same_swap,6,0.9142857142857143,mid
3407,2,F0,same_swap,7,0.9803921568627451,head
3407,2,F0,same_swap,8,0.7521367521367521,mid
3407,2,F0,same_swap,9,0.8472222222222222,mid
3407,2,F0,cross_swap,1,0.7379074658254469,head
3407,2,F0,cross_swap,10,0.04285714285714286,mid
3407,2,F0,cross_swap,11,0.5176470588235295,tail
3407,2,F0,cross_swap,12,0.6774193548387096,tail
3407,2,F0,cross_swap,13,0.8220858895705522,tail
3407,2,F0,cross_swap,14,0.3050847457627119,tail
3407,2,F0,cross_swap,15,0.0975609756097561,tail
3407,2,F0,cross_swap,16,0.028985507246376812,mid
3407,2,F0,cross_swap,2,0.7119914346895075,head
3407,2,F0,cross_swap,3,0.5916955017301038,head
3407,2,F0,cross_swap,4,0.6703941850712888,head
3407,2,F0,cross_swap,5,0.8103277060575969,head
3407,2,F0,cross_swap,6,0.7005649717514124,mid
3407,2,F0,cross_swap,7,0.2620689655172414,head
3407,2,F0,cross_swap,8,0.3958333333333333,mid
3407,2,F0,cross_swap,9,0.5542168674698795,mid
3407,2,F1,original,1,0.994325191216383,head
3407,2,F1,original,10,0.9922480620155039,mid
3407,2,F1,original,11,0.9629629629629629,tail
3407,2,F1,original,12,0.9361702127659575,tail
3407,2,F1,original,13,1.0,tail
3407,2,F1,original,14,0.7792207792207793,tail
3407,2,F1,original,15,0.96,tail
3407,2,F1,original,16,0.99581589958159,mid
3407,2,F1,original,2,0.9960249858035207,head
3407,2,F1,original,3,0.9908910891089109,head
3407,2,F1,original,4,0.9969418960244648,head
3407,2,F1,original,5,0.9989071038251366,head
3407,2,F1,original,6,0.9761904761904762,mid
3407,2,F1,original,7,1.0,head
3407,2,F1,original,8,0.832,mid
3407,2,F1,original,9,0.9846153846153847,mid
3407,2,F1,foreground,1,0.9935802469135803,head
3407,2,F1,foreground,10,1.0,mid
3407,2,F1,foreground,11,1.0,tail
3407,2,F1,foreground,12,0.9342105263157895,tail
3407,2,F1,foreground,13,1.0,tail
3407,2,F1,foreground,14,0.8157894736842105,tail
3407,2,F1,foreground,15,0.96,tail
3407,2,F1,foreground,16,0.9743589743589743,mid
3407,2,F1,foreground,2,0.9920993227990971,head
3407,2,F1,foreground,3,0.991283676703645,head
3407,2,F1,foreground,4,0.9962495738152063,head
3407,2,F1,foreground,5,0.9972722313147845,head
3407,2,F1,foreground,6,0.9940828402366864,mid
3407,2,F1,foreground,7,0.9902912621359223,head
3407,2,F1,foreground,8,0.8292682926829268,mid
3407,2,F1,foreground,9,0.9763779527559056,mid
3407,2,F1,same_swap,1,0.9836841449744675,head
3407,2,F1,same_swap,10,1.0,mid
3407,2,F1,same_swap,11,0.9818181818181818,tail
3407,2,F1,same_swap,12,0.9420289855072463,tail
3407,2,F1,same_swap,13,0.9767441860465116,tail
3407,2,F1,same_swap,14,0.8809523809523809,tail
3407,2,F1,same_swap,15,0.8571428571428571,tail
3407,2,F1,same_swap,16,0.9915966386554622,mid
3407,2,F1,same_swap,2,0.9864864864864865,head
3407,2,F1,same_swap,3,0.9829025844930418,head
3407,2,F1,same_swap,4,0.9969460468272819,head
3407,2,F1,same_swap,5,0.9907658881042911,head
3407,2,F1,same_swap,6,0.9257142857142857,mid
3407,2,F1,same_swap,7,0.9855072463768116,head
3407,2,F1,same_swap,8,0.6060606060606061,mid
3407,2,F1,same_swap,9,0.8888888888888888,mid
3407,2,F1,cross_swap,1,0.8120160213618157,head
3407,2,F1,cross_swap,10,0.6602870813397129,mid
3407,2,F1,cross_swap,11,0.8571428571428571,tail
3407,2,F1,cross_swap,12,0.6666666666666666,tail
3407,2,F1,cross_swap,13,0.7487684729064039,tail
3407,2,F1,cross_swap,14,0.42857142857142855,tail
3407,2,F1,cross_swap,15,0.25,tail
3407,2,F1,cross_swap,16,0.2446043165467626,mid
3407,2,F1,cross_swap,2,0.7325842696629213,head
3407,2,F1,cross_swap,3,0.7693574958813838,head
3407,2,F1,cross_swap,4,0.7421897810218978,head
3407,2,F1,cross_swap,5,0.830398517145505,head
3407,2,F1,cross_swap,6,0.7777777777777778,mid
3407,2,F1,cross_swap,7,0.46060606060606063,head
3407,2,F1,cross_swap,8,0.40540540540540543,mid
3407,2,F1,cross_swap,9,0.7142857142857143,mid
3407,3,F0,original,1,0.995318233582184,head
3407,3,F0,original,10,0.9798657718120806,mid
3407,3,F0,original,11,0.961038961038961,tail
3407,3,F0,original,12,1.0,tail
3407,3,F0,original,13,0.989010989010989,tail
3407,3,F0,original,14,0.9210526315789473,tail
3407,3,F0,original,15,0.9473684210526315,tail
3407,3,F0,original,16,0.9696969696969697,mid
3407,3,F0,original,2,0.9945235487404163,head
3407,3,F0,original,3,0.993689524610854,head
3407,3,F0,original,4,0.996754417598269,head
3407,3,F0,original,5,0.9993964996982498,head
3407,3,F0,original,6,0.9774436090225563,mid
3407,3,F0,original,7,0.9937888198757764,head
3407,3,F0,original,8,0.8765432098765432,mid
3407,3,F0,original,9,0.9846153846153847,mid
3407,3,F0,foreground,1,0.983939774153074,head
3407,3,F0,foreground,10,0.9295774647887324,mid
3407,3,F0,foreground,11,0.927536231884058,tail
