fold,seed,donor_species,recipient_species,n,f0_correct,cxt_correct,delta_correct
1,17,16,13,2,0.0,1.0,1.0
1,17,16,14,1,1.0,1.0,0.0
1,17,2,0,788,0.9035532994923858,0.9454314720812182,0.04187817258883249
1,17,2,1,15,0.06666666666666667,0.5333333333333333,0.4666666666666667
1,17,2,2,2,0.5,0.5,0.0
1,17,2,3,2,0.5,0.5,0.0
1,17,2,4,5,0.8,0.6,-0.2
1,17,2,6,1,0.0,0.0,0.0
1,17,2,7,5,0.0,0.0,0.0
1,17,2,9,149,0.8993288590604027,0.912751677852349,0.013422818791946308
1,17,2,10,152,0.881578947368421,0.8552631578947368,-0.02631578947368421
1,17,2,11,97,0.6494845360824743,0.9278350515463918,0.27835051546391754
1,17,2,12,3,0.6666666666666666,0.6666666666666666,0.0
1,17,2,13,6,0.8333333333333334,0.8333333333333334,0.0
1,17,2,14,3,0.0,0.3333333333333333,0.3333333333333333
1,17,2,15,7,0.8571428571428571,1.0,0.14285714285714285
1,17,3,0,1060,0.8603773584905661,0.9037735849056604,0.04339622641509434
1,17,3,1,11,0.0,0.7272727272727273,0.7272727272727273
1,17,3,2,3,1.0,0.6666666666666666,-0.3333333333333333
1,17,3,3,9,0.3333333333333333,0.5555555555555556,0.2222222222222222
1,17,3,4,11,0.8181818181818182,0.8181818181818182,0.0
1,17,3,5,3,0.6666666666666666,0.6666666666666666,0.0
1,17,3,6,1,0.0,1.0,1.0
1,17,3,7,4,0.0,0.0,0.0
1,17,3,8,130,0.9307692307692308,0.9384615384615385,0.007692307692307693
1,17,3,10,175,0.88,0.8857142857142857,0.005714285714285714
1,17,3,11,109,0.7155963302752294,0.9357798165137615,0.22018348623853212
1,17,3,12,4,0.5,0.75,0.25
1,17,3,13,12,0.16666666666666666,0.3333333333333333,0.16666666666666666
1,17,3,14,8,0.875,0.75,-0.125
1,17,3,15,16,0.875,0.875,0.0
1,17,4,0,1066,0.6369606003752345,0.6801125703564728,0.043151969981238276
1,17,4,1,14,0.0,0.07142857142857142,0.07142857142857142
1,17,4,2,3,0.3333333333333333,0.3333333333333333,0.0
1,17,4,3,7,0.5714285714285714,0.8571428571428571,0.2857142857142857
1,17,4,4,8,0.875,0.75,-0.125
1,17,4,5,2,0.5,0.0,-0.5
1,17,4,6,2,0.0,0.0,0.0
1,17,4,7,5,0.4,0.4,0.0
1,17,4,8,131,0.12213740458015267,0.3435114503816794,0.22137404580152673
1,17,4,9,172,0.36627906976744184,0.436046511627907,0.06976744186046512
1,17,4,11,119,0.8403361344537815,0.8991596638655462,0.058823529411764705
1,17,4,12,8,0.75,0.5,-0.25
1,17,4,13,13,0.0,0.07692307692307693,0.07692307692307693
1,17,4,14,6,0.5,0.3333333333333333,-0.16666666666666666
1,17,4,15,19,0.7894736842105263,0.7894736842105263,0.0
1,17,5,0,648,0.8101851851851852,0.691358024691358,-0.11882716049382716
1,17,5,1,8,0.0,0.125,0.125
1,17,5,2,2,0.5,0.0,-0.5
